source_row,item,annual_cost,raw_amount,status,content,note
2,保險費,4000,4000,confirmed,產品投保責任險,
3,產品條碼,5667,5667,confirmed,,條碼使用期限3年，3年後需繳交17000元
4,記帳士費用,20400,20400,confirmed,外請記帳士協助每月報帳事宜,鐵比倫花園1200/月、鐵比倫有限公司6000/年
5,油資,3600,3600,confirmed,概括平均300/月,埔里地區目前親送的廠商，包含酒廠、農會、九族、日月町
6,人事費,1400000,1400000,confirmed,正職*2+PT,"-正職*2(我都先算5萬)
50000*2*12 = 1,200,000 
-PT/年=200000
1200000+200000 = 1,400,000"
7,房租 (倉庫),60000,60000,confirmed,5000/月,工廠是自己的，旁邊倉庫是租借的
8,運費,34574,34574,confirmed,新竹物流運費,此為114年總運費金額
9,官網,4200,4200,confirmed,QDM 年費,
10,雜支,,,blank,,車輛保養維修、辦公用具採買、生產用消耗品...等
11,設備攤提,,,blank,,
12,水電費,21507,21507,confirmed,,此為114年總水電費金額
