source_row,channel_type,channel_name,package_type,unit_basis,product,retail_price,wholesale_price,discount,product_cogs,gross_profit_per_unit,gross_margin,shipping,operating_expense_per_unit,marketing_expense,payment_fee,invoice_tax_per_unit,expense_subtotal_per_unit,net_profit_per_unit,net_margin
4,批發,台糖,單顆包裝夾鏈袋,260g,原味黑糖,,140,,25,115,0.8214285714285714,0,72.51757333333333,0,0,7,79.51757333333333,35.48242666666667,0.25344590476190476
5,批發,台糖,單顆包裝夾鏈袋,260g,薑汁黑糖,,140,,28,112,0.8,0,72.51757333333333,0,0,7,79.51757333333333,32.48242666666667,0.23201733333333335
6,批發,台糖,單顆包裝夾鏈袋,260g,桂圓黑糖,,140,,31,109,0.7785714285714286,0,72.51757333333333,0,0,7,79.51757333333333,29.48242666666667,0.21058876190476192
7,批發,台糖,單顆包裝夾鏈袋,260g,玫瑰四物黑糖,,140,,28,112,0.8,0,72.51757333333333,0,0,7,79.51757333333333,32.48242666666667,0.23201733333333335
8,批發,台糖,單顆包裝夾鏈袋,260g,桂圓紅棗薑黑糖,,140,,31,109,0.7785714285714286,0,72.51757333333333,0,0,7,79.51757333333333,29.48242666666667,0.21058876190476192
9,批發,台糖,單顆包裝夾鏈袋,260g,冬瓜,,140,,28,112,0.8,0,72.51757333333333,0,0,7,79.51757333333333,32.48242666666667,0.23201733333333335
10,批發,台糖,手切夾鏈袋,380g,原味黑糖,,117,,22,95,0.811965811965812,0,60.603972000000006,0,0,5.8500000000000005,66.45397200000001,28.546027999999993,0.24398314529914525
11,批發,台糖,手切夾鏈袋,380g,薑汁黑糖,,117,,25,92,0.7863247863247863,0,60.603972000000006,0,0,5.8500000000000005,66.45397200000001,25.546027999999993,0.2183421196581196
12,批發,台糖,手切夾鏈袋,380g,桂圓黑糖,,130,,30,100,0.7692307692307693,0,67.33774666666667,0,0,6.5,73.83774666666667,26.162253333333325,0.2012481025641025
13,批發,台糖,手切夾鏈袋,380g,玫瑰四物黑糖,,130,,24,106,0.8153846153846154,0,67.33774666666667,0,0,6.5,73.83774666666667,32.162253333333325,0.24740194871794866
14,批發,農會,手切夾鏈袋,380g,原味黑糖,,110,,22,88,0.8,0,56.978093333333334,0,0,5.5,62.478093333333334,25.521906666666666,0.23201733333333333
15,批發,農會,手切夾鏈袋,380g,薑汁黑糖,,110,,25,85,0.7727272727272727,0,56.978093333333334,0,0,5.5,62.478093333333334,22.521906666666666,0.20474460606060604
16,批發,農會,手切夾鏈袋,380g,桂圓黑糖,,122,,30,92,0.7540983606557377,0,63.19388533333334,0,0,6.1000000000000005,69.29388533333334,22.706114666666664,0.18611569398907102
17,批發,農會,手切夾鏈袋,380g,玫瑰四物黑糖,,122,,24,98,0.8032786885245902,0,63.19388533333334,0,0,6.1000000000000005,69.29388533333334,28.706114666666664,0.23529602185792348
18,貼牌,埔里農會,手切夾鏈袋,380g,原味黑糖,,99,,22,77,0.7777777777777778,0,51.280284,0,0,4.95,56.230284000000005,20.769715999999995,0.20979511111111107
19,貼牌,埔里農會,手切夾鏈袋,380g,薑汁黑糖,,99,,25,74,0.7474747474747475,0,51.280284,0,0,4.95,56.230284000000005,17.769715999999995,0.17949208080808077
20,貼牌,埔里農會,手切夾鏈袋,380g,桂圓黑糖,,110,,30,80,0.7272727272727273,0,56.978093333333334,0,0,5.5,62.478093333333334,17.521906666666666,0.1592900606060606
21,貼牌,埔里農會,手切夾鏈袋,380g,玫瑰四物黑糖,,110,,24,86,0.7818181818181819,0,56.978093333333334,0,0,5.5,62.478093333333334,23.521906666666666,0.21383551515151514
22,批發,,手切夾鏈袋,380g,原味黑糖,,135,,33.3,101.7,0.7533333333333333,0,69.92766,0,0,6.75,76.67766,25.02234,0.18535066666666666
23,批發,,手切夾鏈袋,380g,薑汁黑糖,,135,,36.3,98.7,0.7311111111111112,0,69.92766,0,0,6.75,76.67766,22.02234,0.16312844444444444
24,批發,,手切夾鏈袋,380g,桂圓黑糖,,150,,41.5,108.5,0.7233333333333334,0,77.6974,0,0,7.5,85.1974,23.302599999999998,0.15535066666666666
25,批發,,手切夾鏈袋,380g,玫瑰四物黑糖,,150,,35.3,114.7,0.7646666666666667,0,77.6974,0,0,7.5,85.1974,29.5026,0.196684
26,直售,手切,手切台斤,600g,原味黑糖,,100,,21,79,0.79,0,51.79826666666667,0,0,5,56.79826666666667,22.20173333333333,0.2220173333333333
27,直售,手切,手切台斤,600g,薑汁黑糖,,110,,27,83,0.7545454545454545,0,56.978093333333334,0,0,5.5,62.478093333333334,20.521906666666666,0.18656278787878788
28,直售,手切,手切台斤,600g,桂圓黑糖,,140,,33,107,0.7642857142857142,0,72.51757333333333,0,0,7,79.51757333333333,27.48242666666667,0.19630304761904763
29,直售,手切,手切台斤,600g,玫瑰四物黑糖,,130,,26,104,0.8,0,67.33774666666667,0,0,6.5,73.83774666666667,30.162253333333325,0.23201733333333327
30,未分類,單顆包(每台斤）,單顆包裝夾鏈袋,25台斤(一箱),原味黑糖,,100,,34,66,0.66,0,51.79826666666667,0,0,5,56.79826666666667,9.20173333333333,0.0920173333333333
31,未分類,單顆包(每台斤）,單顆包裝夾鏈袋,25台斤(一箱),薑汁黑糖,,130,,40,90,0.6923076923076923,0,67.33774666666667,0,0,6.5,73.83774666666667,16.162253333333325,0.12432502564102557
32,未分類,單顆包(每台斤）,單顆包裝夾鏈袋,25台斤(一箱),桂圓黑糖,,130,,47,83,0.6384615384615384,0,67.33774666666667,0,0,6.5,73.83774666666667,9.162253333333325,0.07047887179487174
33,未分類,單顆包(每台斤）,單顆包裝夾鏈袋,25台斤(一箱),玫瑰四物黑糖,,130,,39,91,0.7,0,67.33774666666667,0,0,6.5,73.83774666666667,17.162253333333325,0.13201733333333326
34,未分類,單顆包(每台斤）,單顆包裝夾鏈袋,25台斤(一箱),桂圓紅棗薑,,150,,46,104,0.6933333333333334,0,77.6974,0,0,7.5,85.1974,18.802599999999998,0.12535066666666667
35,未分類,單顆包(每台斤）,單顆包裝夾鏈袋,25台斤(一箱),冬瓜,,140,,41,99,0.7071428571428572,0,72.51757333333333,0,0,7,79.51757333333333,19.48242666666667,0.1391601904761905
36,蜜類,蜜類,蜜類瓶裝,350ml,黑糖蜜,,130,,38.6,91.4,0.7030769230769232,0,67.33774666666667,0,0,6.5,73.83774666666667,17.56225333333333,0.13509425641025638
37,蜜類,蜜類,蜜類瓶裝,150ml,黑糖檸檬,,117,,51.3,65.7,0.5615384615384615,0,60.603972000000006,0,0,5.8500000000000005,66.45397200000001,-0.7539720000000045,-0.006444205128205167
38,蜜類,蜜類,蜜類瓶裝,150ml,百香果黑糖,,117,,48,69,0.5897435897435898,0,60.603972000000006,0,0,5.8500000000000005,66.45397200000001,2.5460279999999926,0.021760923076923015
39,蜜類,蜜類,蜜類瓶裝,150ml,梅精黑糖,,143,,47,96,0.6713286713286714,0,74.07152133333334,0,0,7.15,81.22152133333334,14.778478666666658,0.1033460046620046
41,未分類,日月町罐裝(160g）,,160g,原味黑糖,,126,,43,83,0.6587301587301587,0,65.265816,0,0,6.300000000000001,71.565816,11.434184000000002,0.09074749206349207
42,未分類,日月町罐裝(160g）,,160g,薑汁黑糖,,126,,43,83,0.6587301587301587,0,65.265816,0,0,6.300000000000001,71.565816,11.434184000000002,0.09074749206349207
43,未分類,日月町罐裝(160g）,,160g,桂圓黑糖,,126,,43,83,0.6587301587301587,0,65.265816,0,0,6.300000000000001,71.565816,11.434184000000002,0.09074749206349207
44,未分類,日月町罐裝(160g）,,160g,玫瑰四物黑糖,,126,,43,83,0.6587301587301587,0,65.265816,0,0,6.300000000000001,71.565816,11.434184000000002,0.09074749206349207
45,未分類,日月町罐裝(160g）,,160g,桂圓紅棗薑,,126,,43,83,0.6587301587301587,0,65.265816,0,0,6.300000000000001,71.565816,11.434184000000002,0.09074749206349207
46,未分類,日月町罐裝(160g）,,160g,冬瓜,,126,,43,83,0.6587301587301587,0,65.265816,0,0,6.300000000000001,71.565816,11.434184000000002,0.09074749206349207
47,未分類,日月町禮盒組,禮盒,,2入任搭組合,,301,,172,129,0.42857142857142855,0,155.9127826666667,0,0,15.05,170.9627826666667,-41.9627826666667,-0.1394112380952382
49,OEM,科技中藥廠,薑母茶,40台斤(一箱),黑糖薑母茶,,112,,46,66,0.5892857142857143,0,58.01405866666667,0,0,5.6000000000000005,63.61405866666667,2.385941333333328,0.021303047619047572
74,OEM,科技中藥廠,薑母茶,40台斤(一箱),海陸奢華霸王組8~10人 贈玫瑰鹽一罐(市價89元),,5680,,,,,,,,,,,,
75,OEM,科技中藥廠,薑母茶,40台斤(一箱),五星級海陸烤肉組(5-8人份),,1570,,,,,,,,,,,,
