source_file,source_row,raw_route,raw_moq,channel_type,channel_name,product_name_raw,product_name_std,package_type,unit_quantity,unit,sales_unit,quantity_2025,wholesale_price,product_cogs,gross_profit_per_unit,gross_margin,operating_expense_per_unit,invoice_tax_per_unit,expense_subtotal_per_unit,reported_net_profit_per_unit,calculated_net_profit_per_unit,net_profit_per_unit,reported_contribution_profit,calculated_contribution_profit,contribution_profit,reported_revenue,calculated_revenue,revenue,revenue_source,profit_source,analysis_sku,quality_flags
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,5,ODM/貼牌,品牌方提供產品規格、設計圖、配方，代工廠依此生產。,貼牌,,,,,,,,,,,,,,,,,,,227657.0,,227657.0,1258927.0,,1258927.0,reported,reported,_None_None_None,missing_price;missing_cost;missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,6,"批發-台糖
(單顆包裝夾鏈袋260g)",長期合作，看他們貨量，有叫就送沒有固定,批發,台糖,原味黑糖 ,原味黑糖,單顆包夾鏈袋,260.0,g,,,130.0,25.0,105.0,80.77,67.33774667,6.5,73.8,31.0,31.16225333,31.16225333,0.0,,0.0,0.0,,0.0,reported,reported,原味黑糖 _台糖_單顆包夾鏈袋_130.0,
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,7,,,未分類,,薑汁黑糖,薑汁黑糖,,,,,,140.0,28.0,112.0,80.0,72.51757333,7.0,79.5,32.0,32.482426669999995,32.482426669999995,0.0,,0.0,0.0,,0.0,reported,reported,薑汁黑糖_None_None_140.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,8,,,未分類,,桂圓黑糖,桂圓黑糖,,,,,,140.0,31.0,109.0,77.86,72.51757333,7.0,79.5,29.0,29.482426669999995,29.482426669999995,0.0,,0.0,0.0,,0.0,reported,reported,桂圓黑糖_None_None_140.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,9,,,未分類,,玫瑰四物黑糖,玫瑰四物黑糖,,,,,,140.0,28.0,112.0,80.0,72.51757333,7.0,79.5,32.0,32.482426669999995,32.482426669999995,0.0,,0.0,0.0,,0.0,reported,reported,玫瑰四物黑糖_None_None_140.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,10,,,未分類,,桂圓紅棗薑黑糖,桂圓紅棗薑黑糖,,,,,272.0,140.0,31.0,109.0,77.86,72.51757333,7.0,79.5,29.0,29.482426669999995,29.482426669999995,8019.0,8019.220054239999,8019.0,38080.0,38080.0,38080.0,reported,reported,桂圓紅棗薑黑糖_None_None_140.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,11,,,未分類,,冬瓜,冬瓜,,,,,98.0,140.0,28.0,112.0,80.0,72.51757333,7.0,79.5,32.0,32.482426669999995,32.482426669999995,3183.0,3183.2778136599995,3183.0,13720.0,13720.0,13720.0,reported,reported,冬瓜_None_None_140.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,12,"批發-台糖
(手切夾鏈袋380g)",長期合作，看他們貨量，有叫就送沒有固定,批發,台糖,原味黑糖 ,原味黑糖,手切夾鏈袋,380.0,g,,300.0,117.0,22.0,95.0,81.2,60.603972,5.85,66.5,29.0,28.546028,28.546028,8564.0,8563.8084,8564.0,35100.0,35100.0,35100.0,reported,reported,原味黑糖 _台糖_手切夾鏈袋_117.0,
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,13,,,未分類,,薑汁黑糖,薑汁黑糖,,,,,375.0,117.0,25.0,92.0,78.63,60.603972,5.85,66.5,26.0,25.546028,25.546028,9580.0,9579.7605,9580.0,43875.0,43875.0,43875.0,reported,reported,薑汁黑糖_None_None_117.0,missing_spec
鐵比倫-產品成本結構試算.xlsx - 2025 營收銷量(原始檔案).csv,14,,,未分類,,桂圓黑糖,桂圓黑糖,,,,,163.0,130.0,30.0,100.0,76.92,67.33774667,6.5,73.8,26.0,26.16225333,26.16225333,4264.0,4264.44729279,4264.0,21190.0,21190.0,21190.0,reported,reported,桂圓黑糖_None_None_130.0,missing_spec
