請填寫黃底欄位，其餘欄位勿動,,,,,,
可透過歷史數據計算佔比（例：前一年度），新品牌則以產業均值、預估營業額計算,,,,,,
項目,說明,全年度金額,佔比,單月,,
總年度業績,"前一年度業績（含通路）
如無歷史業績，則填寫目標業績","3,000,000",n/a,250000,,
營業費用,網站、房租水電、人事、營業設備 (攤提/折舊),"1,553,948",51.8%,129495.6667,,
行銷費用,廣告、口碑、代言、電子報、簡訊等 (均值30%),n/a,,0,,
金流費用佔比,刷卡、第三方、代收等 (均值約2%),n/a,,,,
運費成本占比,"計算一：( 免運訂單數/總訂單數 ) * (運費/客單)
計算二：( 免運訂單數*運費 ) / 營收
計算三：運費成本/免運門檻 *無過往數據時使用",n/a,0,0.132,,2500
,,,,,,
定倍率均質,平均售價/平均產品成本,2,,超取運費 150,,
平均運費成本,(物流費+包材費) x (1+退貨率),330,,宅配運費 210,,
,,,,,,
,,,,,,
,冷凍/冷藏宅配,,,,,
,大榮,1.半才：150,2.一才：210,3.二才：270,4.三才：330,
,黑貓,1.60公分：160,2.90公分：225,3.120公分：290,121-150公分,
,包材$40,,保麗龍30+緩衝物 10,,,
